stock,price,ret
005380,27200,-1.1
005380,26800,-1.5
005380,27200,1.5
005380,26700,-1.8
005380,26800,0.4
005380,26500,-1.1
005380,26700,0.8
005380,26600,-0.4
005380,27000,1.5
005380,27800,3.0
005380,27500,-1.1
005380,27800,1.1
005380,28400,2.2
005380,27900,-1.8
005380,27500,-1.4
005380,28000,1.8
005380,28000,0.0
005380,27900,-0.4
005380,27900,0.0
005380,27200,-2.5
005380,27200,0.0
005380,26800,-1.5
005380,26600,-0.8
005380,27000,1.5
005380,26600,-1.5
005380,26500,-0.4
005380,26100,-1.5
005380,26000,-0.4
005380,25200,-3.1
005380,25100,-0.4
005380,24000,-4.4
005380,23700,-1.2
005380,23800,0.4
005380,24100,1.3
005380,24800,2.9
005380,24500,-1.2
005380,24200,-1.2
005380,24300,0.4
005380,24700,1.6
005380,24500,-0.8
005380,25200,2.9
005380,25900,2.8
005380,26200,1.2
005380,27100,3.4
005380,27900,3.0
005380,27400,-1.8
005380,27100,-1.1
005380,27000,-0.4
005380,26700,-1.1
005380,27200,1.9
005380,26800,-1.5
005380,26300,-1.9
005380,27000,2.7
005380,27100,0.4
005380,26800,-1.1
005380,26700,-0.4
005380,26600,-0.4
005380,27200,2.3
005380,27200,0.0
005380,25500,-6.2
005380,25600,0.4
005380,24800,-3.1
005380,24700,-0.4
005380,25500,3.2
005380,25500,0.0
005380,25400,-0.4
005380,25000,-1.6
005380,24200,-3.2
005380,25000,3.3
005380,26500,6.0
005380,26300,-0.8
005380,26300,0.0
005380,25500,-3.0
005380,25500,0.0
005380,25300,-0.8
005380,24100,-4.7
005380,24300,0.8
005380,24500,0.8
005380,24500,0.0
005380,24500,0.0
005380,24800,1.2
005380,25600,3.2
005380,25600,0.0
005380,24500,-4.3
005380,24900,1.6
005380,24700,-0.8
005380,23500,-4.9
005380,23000,-2.1
005380,22300,-3.0
005380,22200,-0.4
005380,22300,0.4
005380,21700,-2.7
005380,22100,1.8
005380,21500,-2.7
005380,20100,-6.5
005380,20600,2.5
005380,21200,2.9
005380,20000,-5.7
005380,20200,1.0
005380,21600,6.9
005380,22100,2.3
005380,20700,-6.3
005380,20400,-1.4
005380,19100,-6.4
005380,17700,-7.3
005380,17100,-3.4
005380,16500,-3.5
005380,15900,-3.6
005380,17100,7.6
005380,18300,7.0
005380,19700,7.6
005380,20900,6.1
005380,21800,4.3
005380,20100,-7.8
005380,18500,-8.0
005380,19800,7.0
005380,20600,4.0
005380,20600,0.0
005380,20600,0.0
005380,20600,0.0
005380,20400,-1.0
005380,20300,-0.5
005380,18900,-6.9
005380,19800,4.8
005380,19400,-2.0
005380,20900,7.7
005380,21700,3.8
005380,20500,-5.5
005380,20000,-2.4
005380,21600,8.0
005380,22000,1.8
005380,21800,-0.9
005380,22000,0.9
005380,21900,-0.4
005380,20900,-4.6
005380,20900,0.0
005380,22500,7.7
005380,24300,8.0
005380,22400,-7.8
005380,20700,-7.6
005380,19100,-7.7
005380,19900,4.2
005380,18400,-7.5
005380,17000,-7.6
005380,18100,6.5
005380,19500,7.7
005380,20900,7.2
005380,20000,-4.3
005380,20000,0.0
005380,19600,-2.0
005380,20500,4.6
005380,18900,-7.8
005380,17400,-7.9
005380,18700,7.5
005380,18700,0.0
005380,19600,7.7
005380,21100,7.6
005380,22700,7.6
005380,22600,-0.4
005380,24400,8.0
005380,25900,6.2
005380,27900,7.7
005380,27900,0.0
005380,27900,0.0
005380,27800,-0.4
005380,28900,4.0
005380,27800,-3.8
005380,28000,0.7
005380,30200,7.9
005380,29900,-1.0
005380,27600,-7.7
005380,25400,-8.0
005380,25900,2.0
005380,26700,3.1
005380,28800,7.9
005380,31100,8.0
005380,33500,7.7
005380,35000,4.5
005380,32300,-7.7
005380,31600,-2.2
005380,29100,-7.9
005380,29100,0.0
005380,29100,0.0
005380,30200,3.8
005380,29000,-4.0
005380,28200,-2.8
005380,27900,-1.1
005380,28900,3.6
005380,26600,-8.0
005380,25300,-4.9
005380,25500,0.8
005380,27500,7.8
005380,29300,6.6
005380,30000,2.4
005380,31500,5.0
005380,31600,0.3
005380,30000,-5.1
005380,28400,-5.3
005380,28400,0.0
005380,30200,6.3
005380,31200,3.3
005380,31000,-0.6
005380,30000,-3.2
005380,28000,-6.7
005380,26800,-4.3
005380,25000,-6.7
005380,24800,-0.8
005380,22800,-8.1
005380,25100,10.1
005380,26300,4.8
005380,25600,-2.7
005380,25400,-0.8
005380,25300,-0.4
005380,25000,-1.2
005380,24400,-2.4
005380,23400,-4.1
005380,24400,4.3
005380,24400,0.0
005380,23700,-2.9
005380,23800,0.4
005380,23000,-3.4
005380,23500,2.2
005380,22800,-3.0
005380,22000,-3.5
005380,21100,-4.1
005380,20900,-1.0
005380,19950,-4.6
005380,19200,-3.8
005380,18800,-2.1
005380,19500,3.7
005380,19500,0.0
005380,18800,-3.6
